# Palabras,# Caracteres Entrada,# Caracteres Salida,Tiempo Lectura (ms),Tiempo Clave (ms),Tiempo Cifrado (ms),Tiempo Descifrado (ms)
10,70,108,0.08177757263183594,0.0040531158447265625,3.9980411529541016,0.16379356384277344
100,816,1112,0.07915496826171875,0.003814697265625,0.09894371032714844,0.0743865966796875
1000,8785,11736,0.06365776062011719,0.003337860107421875,0.18525123596191406,0.18334388732910156
10000,88204,117696,0.1666545867919922,0.008106231689453125,1.1899471282958984,3.726959228515625
100000,885243,1181100,0.7677078247070312,0.010967254638671875,10.814905166625977,14.662504196166992
1000000,8850537,11808172,13.544559478759766,0.008821487426757812,133.650541305542,127.03943252563477
10000000,88484179,118052864,208.2846164703369,0.012874603271484375,1312.6544952392578,1318.730115890503
